region,lga
Inner Metro Region,Melbourne
Inner Metro Region,Port Phillip
Inner Metro Region,Yarra
Inner South East Region,Stonnington
Inner South East Region,Bayside
Inner South East Region,Boroondara
Inner South East Region,Glen Eira
Western Region,Melton
Western Region,Brimbank
Western Region,Hobsons Bay
Western Region,Wyndham
Western Region,Moonee Valley
Western Region,Maribyrnong
Northern Region,Banyule
Northern Region,Whittlesea
Northern Region,Nillumbik
Northern Region,Hume
Northern Region,Moreland
Northern Region,Darebin
Northern Region,Mitchell
Eastern Region,Manningham
Eastern Region,Whitehorse
Eastern Region,Knox
Eastern Region,Yarra Ranges
Eastern Region,Maroondah
Eastern Region,Monash
Southern Region,Kingston
Southern Region,Frankston
Southern Region,Cardinia
Southern Region,Casey
Southern Region,Greater Dandenong
Southern Region,Mornington Peninsula
